Time,
2016-03-10 00:00:00 UTC,6308942231.13644
2016-03-11 00:00:00 UTC,6370225908.79331
2016-03-12 00:00:00 UTC,6423794847.34599
2016-03-13 00:00:00 UTC,6295277659.20453
2016-03-14 00:00:00 UTC,6321288460.07944
2016-03-15 00:00:00 UTC,6360164608.69844
2016-03-16 00:00:00 UTC,6372350845.59644
2016-03-17 00:00:00 UTC,6387602516.78918
2016-03-18 00:00:00 UTC,6410683426.53751
2016-03-19 00:00:00 UTC,6268684023.85747
2016-03-20 00:00:00 UTC,6275398511.30483
2016-03-21 00:00:00 UTC,6300495056.79275
2016-03-22 00:00:00 UTC,6310358353.75564
2016-03-23 00:00:00 UTC,6399897327.13983
2016-03-24 00:00:00 UTC,6406674919.88541
2016-03-25 00:00:00 UTC,6362508246.01457
2016-03-26 00:00:00 UTC,6393385080.89735
2016-03-27 00:00:00 UTC,6401296404.14314
2016-03-28 00:00:00 UTC,6529142715.11015
2016-03-29 00:00:00 UTC,6505423155.99426
2016-03-30 00:00:00 UTC,6373641081.95227
2016-03-31 00:00:00 UTC,6367390326.27374
2016-04-01 00:00:00 UTC,6386315430.54599
2016-04-02 00:00:00 UTC,6435199977.21109
2016-04-03 00:00:00 UTC,6451077066.94879
2016-04-04 00:00:00 UTC,6454037864.7553
2016-04-05 00:00:00 UTC,6455769653.65414
2016-04-06 00:00:00 UTC,6503469716.44181
2016-04-07 00:00:00 UTC,6488967945.30198
2016-04-08 00:00:00 UTC,6476234367.01674
2016-04-09 00:00:00 UTC,6432614474.02465
2016-04-10 00:00:00 UTC,6448312842.7223
2016-04-11 00:00:00 UTC,6486028130.40301
2016-04-12 00:00:00 UTC,6522984537.97766
2016-04-13 00:00:00 UTC,6554009013.2324
2016-04-14 00:00:00 UTC,6541950712.32358
2016-04-15 00:00:00 UTC,6557748763.64253
2016-04-16 00:00:00 UTC,6630569535.05149
2016-04-17 00:00:00 UTC,6656057209.58558
2016-04-18 00:00:00 UTC,6608755843.27338
2016-04-19 00:00:00 UTC,6626775231.10125
2016-04-20 00:00:00 UTC,6741165205.69521
2016-04-21 00:00:00 UTC,6828487144.37199
2016-04-22 00:00:00 UTC,6937785944.48208
2016-04-23 00:00:00 UTC,6912634448.77357
2016-04-24 00:00:00 UTC,7009404009.72249
2016-04-25 00:00:00 UTC,7113936710.15032
2016-04-26 00:00:00 UTC,7151145357.27548
2016-04-27 00:00:00 UTC,7227971772.35331
2016-04-28 00:00:00 UTC,6804910266.31377
2016-04-29 00:00:00 UTC,6949166073.87414
2016-04-30 00:00:00 UTC,7046827798.66655
2016-05-01 00:00:00 UTC,6951977857.75386
2016-05-02 00:00:00 UTC,7005494087.16643
2016-05-03 00:00:00 UTC,6882314841.09334
2016-05-04 00:00:00 UTC,6972628860.40302
2016-05-05 00:00:00 UTC,6940732900.27871
2016-05-06 00:00:00 UTC,6948950612.02679
2016-05-07 00:00:00 UTC,7131878042.19068
2016-05-08 00:00:00 UTC,7113914785.35193
2016-05-09 00:00:00 UTC,7107695973.8276
2016-05-10 00:00:00 UTC,7152612926.38105
2016-05-11 00:00:00 UTC,7014552649.87251
2016-05-12 00:00:00 UTC,7020705452.04871
2016-05-13 00:00:00 UTC,7063178344.94635
2016-05-14 00:00:00 UTC,7085144613.21318
2016-05-15 00:00:00 UTC,7089062229.35438
2016-05-16 00:00:00 UTC,7116565460.60206
2016-05-17 00:00:00 UTC,7052724016.55392
